timestamp,display_id,label,direction,is_transition
2026-07-28 01:05:37.398,person_ID_221,person,Eingang (kein Wechsel),False
2026-07-28 01:05:37.398,person_ID_224,person,Ausgang (kein Wechsel),False
2026-07-28 01:05:37.926,person_ID_238,person,Ausgang (kein Wechsel),False
2026-07-28 01:05:38.924,person_ID_223,person,Ausgang (kein Wechsel),False
2026-07-28 01:05:39.028,person_ID_239,person,Eingang (kein Wechsel),False
2026-07-28 01:05:39.028,person_ID_241,person,Eingang (kein Wechsel),False
2026-07-28 01:05:39.028,person_ID_242,person,Eingang (kein Wechsel),False
2026-07-28 01:05:39.028,person_ID_243,person,Eingang (kein Wechsel),False
2026-07-28 01:05:39.888,person_ID_240,person,Eingang (kein Wechsel),False
2026-07-28 01:05:40.997,person_ID_244,person,Eingang (kein Wechsel),False
2026-07-28 01:05:40.998,person_ID_245,person,Eingang (kein Wechsel),False
2026-07-28 01:05:40.998,person_ID_246,person,Eingang (kein Wechsel),False
2026-07-28 01:05:40.998,person_ID_249,person,Eingang (kein Wechsel),False
2026-07-28 01:05:40.998,person_ID_250,person,Ausgang (kein Wechsel),False
2026-07-28 01:05:40.998,person_ID_251,person,Ausgang (kein Wechsel),False
2026-07-28 01:05:41.195,person_ID_257,person,Eingang (kein Wechsel),False
2026-07-28 01:05:41.725,person_ID_261,person,Ausgang (kein Wechsel),False
2026-07-28 01:05:42.193,person_ID_262,person,Eingang (kein Wechsel),False
2026-07-28 01:05:42.630,person_ID_258,person,Ausgang (kein Wechsel),False
2026-07-28 01:05:42.725,person_ID_252,person,Ausgang (kein Wechsel),False
2026-07-28 01:05:43.022,person_ID_264,person,Ausgang (kein Wechsel),False
2026-07-28 01:05:43.023,person_ID_265,person,Eingang (kein Wechsel),False
2026-07-28 01:05:43.964,bicycle_ID_3,bicycle,Ausgang (kein Wechsel),False
2026-07-28 01:05:44.524,person_ID_267,person,Ausgang (kein Wechsel),False
2026-07-28 01:05:44.859,person_ID_259,person,Eingang->Ausgang,True
2026-07-28 01:05:44.924,person_ID_266,person,Eingang (kein Wechsel),False
2026-07-28 01:05:44.961,person_ID_268,person,Eingang (kein Wechsel),False
2026-07-28 01:05:45.326,person_ID_255,person,Ausgang (kein Wechsel),False
2026-07-28 01:05:46.060,person_ID_269,person,Ausgang (kein Wechsel),False
2026-07-28 01:05:46.357,car_ID_70,car,Eingang (kein Wechsel),False
2026-07-28 01:05:46.488,person_ID_263,person,Ausgang (kein Wechsel),False
2026-07-28 01:05:46.823,person_ID_270,person,Ausgang (kein Wechsel),False
2026-07-28 01:05:47.195,car_ID_71,car,Eingang (kein Wechsel),False
2026-07-28 01:05:47.567,person_ID_272,person,Ausgang (kein Wechsel),False
2026-07-28 01:05:48.564,person_ID_254,person,Ausgang (kein Wechsel),False
2026-07-28 01:05:48.673,person_ID_277,person,Eingang (kein Wechsel),False
2026-07-28 01:05:48.691,person_ID_276,person,Ausgang (kein Wechsel),False
2026-07-28 01:05:48.724,person_ID_273,person,Ausgang (kein Wechsel),False
2026-07-28 01:05:48.858,person_ID_247,person,Eingang->Ausgang,True
2026-07-28 01:05:49.460,person_ID_279,person,Ausgang (kein Wechsel),False
2026-07-28 01:05:49.633,person_ID_281,person,Ausgang (kein Wechsel),False
2026-07-28 01:05:49.676,person_ID_280,person,Ausgang (kein Wechsel),False
2026-07-28 01:05:51.158,person_ID_260,person,Eingang->Ausgang,True
2026-07-28 01:05:51.461,car_ID_72,car,Ausgang (kein Wechsel),False
2026-07-28 01:05:52.596,person_ID_253,person,Ausgang (kein Wechsel),False
2026-07-28 01:05:52.692,car_ID_73,car,Ausgang (kein Wechsel),False
2026-07-28 01:05:53.493,car_ID_74,car,Ausgang (kein Wechsel),False
2026-07-28 01:05:54.467,person_ID_286,person,Eingang (kein Wechsel),False
2026-07-28 01:05:54.992,person_ID_285,person,Ausgang (kein Wechsel),False
2026-07-28 01:05:55.123,car_ID_75,car,Ausgang (kein Wechsel),False
2026-07-28 01:05:55.297,person_ID_278,person,Ausgang (kein Wechsel),False
2026-07-28 01:05:55.723,person_ID_274,person,Ausgang->Eingang,True
2026-07-28 01:05:56.762,person_ID_288,person,Eingang (kein Wechsel),False
2026-07-28 01:05:57.195,person_ID_290,person,Eingang (kein Wechsel),False
2026-07-28 01:05:57.466,person_ID_289,person,Ausgang (kein Wechsel),False
2026-07-28 01:05:57.627,person_ID_287,person,Ausgang (kein Wechsel),False
2026-07-28 01:05:57.659,car_ID_76,car,Ausgang (kein Wechsel),False
2026-07-28 01:05:58.196,person_ID_292,person,Eingang (kein Wechsel),False
2026-07-28 01:05:58.591,car_ID_77,car,Eingang (kein Wechsel),False
2026-07-28 01:05:59.096,person_ID_271,person,Eingang (kein Wechsel),False
2026-07-28 01:05:59.759,person_ID_293,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:00.292,person_ID_283,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:00.562,person_ID_291,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:00.826,car_ID_78,car,Ausgang (kein Wechsel),False
2026-07-28 01:06:01.259,person_ID_284,person,Eingang (kein Wechsel),False
2026-07-28 01:06:01.329,person_ID_295,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:01.390,person_ID_296,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:02.053,person_ID_256,person,Eingang (kein Wechsel),False
2026-07-28 01:06:02.300,person_ID_297,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:03.024,person_ID_298,person,Eingang (kein Wechsel),False
2026-07-28 01:06:05.826,person_ID_299,person,Eingang (kein Wechsel),False
2026-07-28 01:06:05.826,person_ID_301,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:06.624,person_ID_300,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:08.559,person_ID_303,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:09.293,person_ID_305,person,Eingang (kein Wechsel),False
2026-07-28 01:06:10.326,person_ID_306,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:10.664,car_ID_79,car,Ausgang (kein Wechsel),False
2026-07-28 01:06:10.921,car_ID_80,car,Ausgang (kein Wechsel),False
2026-07-28 01:06:11.262,person_ID_307,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:12.107,person_ID_309,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:14.260,person_ID_311,person,Eingang (kein Wechsel),False
2026-07-28 01:06:14.724,person_ID_313,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:14.724,car_ID_82,car,Ausgang (kein Wechsel),False
2026-07-28 01:06:14.993,person_ID_308,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:16.894,car_ID_81,car,Ausgang (kein Wechsel),False
2026-07-28 01:06:17.794,person_ID_314,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:18.054,car_ID_84,car,Ausgang (kein Wechsel),False
2026-07-28 01:06:18.293,car_ID_83,car,Eingang (kein Wechsel),False
2026-07-28 01:06:19.829,person_ID_318,person,Eingang (kein Wechsel),False
2026-07-28 01:06:20.129,person_ID_319,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:20.564,person_ID_320,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:20.856,person_ID_321,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:21.591,person_ID_317,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:22.494,person_ID_282,person,Eingang (kein Wechsel),False
2026-07-28 01:06:22.494,person_ID_322,person,Eingang (kein Wechsel),False
2026-07-28 01:06:22.730,person_ID_324,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:23.057,person_ID_294,person,Eingang (kein Wechsel),False
2026-07-28 01:06:23.565,person_ID_325,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:24.459,person_ID_315,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:24.592,car_ID_85,car,Ausgang (kein Wechsel),False
2026-07-28 01:06:24.625,person_ID_328,person,Eingang (kein Wechsel),False
2026-07-28 01:06:24.761,person_ID_326,person,Eingang (kein Wechsel),False
2026-07-28 01:06:25.070,person_ID_331,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:25.325,person_ID_329,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:26.106,person_ID_333,person,Eingang (kein Wechsel),False
2026-07-28 01:06:26.882,person_ID_310,person,Eingang (kein Wechsel),False
2026-07-28 01:06:27.324,person_ID_332,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:27.462,person_ID_336,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:27.734,car_ID_86,car,Ausgang (kein Wechsel),False
2026-07-28 01:06:27.736,car_ID_87,car,Ausgang (kein Wechsel),False
2026-07-28 01:06:27.768,person_ID_334,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:28.029,person_ID_337,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:28.768,person_ID_339,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:29.331,person_ID_341,person,Eingang (kein Wechsel),False
2026-07-28 01:06:29.665,person_ID_323,person,Eingang->Ausgang,True
2026-07-28 01:06:29.958,bicycle_ID_4,bicycle,Ausgang (kein Wechsel),False
2026-07-28 01:06:30.057,person_ID_344,person,Eingang (kein Wechsel),False
2026-07-28 01:06:30.156,car_ID_89,car,Ausgang (kein Wechsel),False
2026-07-28 01:06:30.492,person_ID_345,person,Eingang (kein Wechsel),False
2026-07-28 01:06:30.628,person_ID_343,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:30.798,car_ID_88,car,Ausgang (kein Wechsel),False
2026-07-28 01:06:31.090,car_ID_90,car,Ausgang (kein Wechsel),False
2026-07-28 01:06:32.001,person_ID_347,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:32.066,person_ID_335,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:32.527,person_ID_330,person,Eingang->Ausgang,True
2026-07-28 01:06:33.858,person_ID_340,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:34.295,person_ID_348,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:34.657,person_ID_316,person,Eingang->Ausgang,True
2026-07-28 01:06:34.723,car_ID_91,car,Ausgang (kein Wechsel),False
2026-07-28 01:06:35.262,person_ID_351,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:35.437,person_ID_353,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:35.457,person_ID_342,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:35.791,person_ID_354,person,Eingang (kein Wechsel),False
2026-07-28 01:06:36.033,person_ID_356,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:36.310,person_ID_357,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:36.436,person_ID_352,person,Eingang (kein Wechsel),False
2026-07-28 01:06:37.402,person_ID_349,person,Eingang (kein Wechsel),False
2026-07-28 01:06:37.460,person_ID_304,person,Ausgang->Eingang,True
2026-07-28 01:06:37.524,person_ID_358,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:37.767,person_ID_360,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:37.934,car_ID_92,car,Eingang (kein Wechsel),False
2026-07-28 01:06:38.322,car_ID_93,car,Ausgang (kein Wechsel),False
2026-07-28 01:06:39.264,car_ID_94,car,Eingang (kein Wechsel),False
2026-07-28 01:06:39.532,person_ID_361,person,Eingang->Ausgang,True
2026-07-28 01:06:41.167,person_ID_366,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:41.445,person_ID_362,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:41.905,person_ID_327,person,Ausgang->Eingang,True
2026-07-28 01:06:42.589,person_ID_367,person,Eingang (kein Wechsel),False
2026-07-28 01:06:42.694,person_ID_368,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:42.766,car_ID_95,car,Ausgang (kein Wechsel),False
2026-07-28 01:06:43.200,person_ID_346,person,Eingang->Ausgang,True
2026-07-28 01:06:45.405,car_ID_96,car,Ausgang (kein Wechsel),False
2026-07-28 01:06:45.438,person_ID_370,person,Eingang (kein Wechsel),False
2026-07-28 01:06:45.530,car_ID_98,car,Ausgang (kein Wechsel),False
2026-07-28 01:06:45.728,person_ID_369,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:45.958,person_ID_371,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:46.132,person_ID_364,person,Eingang (kein Wechsel),False
2026-07-28 01:06:46.367,person_ID_359,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:46.798,car_ID_99,car,Eingang (kein Wechsel),False
2026-07-28 01:06:47.228,person_ID_373,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:47.390,person_ID_355,person,Eingang->Ausgang,True
2026-07-28 01:06:47.732,person_ID_376,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:47.828,person_ID_350,person,Eingang->Ausgang,True
2026-07-28 01:06:48.529,person_ID_375,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:49.038,person_ID_378,person,Eingang (kein Wechsel),False
2026-07-28 01:06:49.506,person_ID_380,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:49.506,person_ID_381,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:49.698,car_ID_100,car,Ausgang (kein Wechsel),False
2026-07-28 01:06:49.915,person_ID_382,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:50.562,person_ID_377,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:50.689,person_ID_385,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:50.860,person_ID_383,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:51.201,person_ID_248,person,Eingang (kein Wechsel),False
2026-07-28 01:06:51.326,car_ID_101,car,Ausgang (kein Wechsel),False
2026-07-28 01:06:51.400,person_ID_372,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:51.734,person_ID_379,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:52.090,person_ID_365,person,Eingang (kein Wechsel),False
2026-07-28 01:06:52.293,person_ID_312,person,Ausgang->Eingang,True
2026-07-28 01:06:52.358,person_ID_384,person,Eingang (kein Wechsel),False
2026-07-28 01:06:52.895,person_ID_388,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:52.926,person_ID_393,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:53.093,person_ID_392,person,Eingang (kein Wechsel),False
2026-07-28 01:06:53.259,person_ID_395,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:53.400,person_ID_396,person,Eingang (kein Wechsel),False
2026-07-28 01:06:53.494,person_ID_397,person,Eingang (kein Wechsel),False
2026-07-28 01:06:53.494,person_ID_398,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:53.535,car_ID_97,car,Eingang (kein Wechsel),False
2026-07-28 01:06:53.561,person_ID_391,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:53.724,person_ID_390,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:55.999,person_ID_386,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:57.296,person_ID_404,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:57.727,person_ID_363,person,Eingang (kein Wechsel),False
2026-07-28 01:06:57.727,person_ID_409,person,Eingang (kein Wechsel),False
2026-07-28 01:06:58.128,person_ID_408,person,Eingang (kein Wechsel),False
2026-07-28 01:06:58.461,person_ID_407,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:58.556,person_ID_401,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:58.797,person_ID_338,person,Ausgang->Eingang,True
2026-07-28 01:06:58.989,person_ID_302,person,Eingang (kein Wechsel),False
2026-07-28 01:06:59.160,car_ID_103,car,Eingang (kein Wechsel),False
2026-07-28 01:06:59.194,car_ID_102,car,Ausgang (kein Wechsel),False
2026-07-28 01:06:59.657,person_ID_394,person,Ausgang (kein Wechsel),False
2026-07-28 01:06:59.789,person_ID_405,person,Eingang (kein Wechsel),False
2026-07-28 01:07:00.395,person_ID_402,person,Eingang (kein Wechsel),False
2026-07-28 01:07:00.422,person_ID_400,person,Ausgang (kein Wechsel),False
2026-07-28 01:07:00.858,person_ID_413,person,Eingang (kein Wechsel),False
2026-07-28 01:07:00.895,person_ID_403,person,Ausgang (kein Wechsel),False
2026-07-28 01:07:01.193,person_ID_399,person,Ausgang (kein Wechsel),False
2026-07-28 01:07:01.589,person_ID_412,person,Eingang (kein Wechsel),False
2026-07-28 01:07:01.894,car_ID_104,car,Ausgang (kein Wechsel),False
2026-07-28 01:07:02.057,car_ID_106,car,Eingang (kein Wechsel),False
2026-07-28 01:07:02.321,person_ID_414,person,Eingang (kein Wechsel),False
2026-07-28 01:07:02.426,car_ID_105,car,Ausgang (kein Wechsel),False
2026-07-28 01:07:02.790,person_ID_418,person,Ausgang (kein Wechsel),False
2026-07-28 01:07:02.925,person_ID_417,person,Ausgang (kein Wechsel),False
2026-07-28 01:07:06.490,car_ID_108,car,Ausgang (kein Wechsel),False
2026-07-28 01:07:06.622,car_ID_107,car,Ausgang (kein Wechsel),False
2026-07-28 01:07:06.799,person_ID_389,person,Ausgang->Eingang,True
2026-07-28 01:07:07.857,person_ID_423,person,Ausgang (kein Wechsel),False
2026-07-28 01:07:08.493,person_ID_420,person,Eingang (kein Wechsel),False
2026-07-28 01:07:08.698,person_ID_411,person,Ausgang (kein Wechsel),False
2026-07-28 01:07:09.223,car_ID_109,car,Ausgang (kein Wechsel),False
2026-07-28 01:07:09.363,person_ID_421,person,Eingang (kein Wechsel),False
2026-07-28 01:07:09.560,person_ID_426,person,Eingang (kein Wechsel),False
2026-07-28 01:07:09.690,person_ID_416,person,Ausgang->Eingang,True
2026-07-28 01:07:09.789,person_ID_275,person,Ausgang->Eingang,True
2026-07-28 01:07:09.789,person_ID_424,person,Eingang (kein Wechsel),False
2026-07-28 01:07:10.325,car_ID_113,car,Eingang (kein Wechsel),False
2026-07-28 01:07:10.361,person_ID_427,person,Ausgang (kein Wechsel),False
2026-07-28 01:07:10.790,person_ID_429,person,Eingang (kein Wechsel),False
